Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
Barbara Weiner * Stephan Wünsche * Stefan Kühne * Pia Voigt * Sebastian Frericks * Clemens Hoffmann * Romy Elze * Ronny Gey,CC-BY-4.0,https://doi.org/10.5281/zenodo.3778431,Crashkurs Forschungsdatenmanagement,,"Diese Pr&auml;sentation bietet einen Einstieg in alle relevanten Bereiche des Forschungsdatenmanagements an der Universit&auml;t Leipzig. Behandelt werden Grundlagen des Forschungsdatenmanagements, technische, ethische und rechtliche Aspekte sowie die Archivierung und Publikation von Forschungsdaten. Die Pr&auml;sentation enth&auml;lt zahlreiche weiterf&uuml;hrende Links (rot) und Literaturhinweise.

Erg&auml;nzend hierzu wird eine Pr&auml;sentation mit &Uuml;bungsaufgaben angeboten, die helfen soll, das Gelernte zu festigen und in der eigenen Forschungspraxis umzusetzen. Den Aufgaben folgen jeweils eine Antwortfolie sowie deren Aufl&ouml;sung.",Unknown,.pdf,Research Data Management * include in DALIA,de,Presentation,presentation,advanced beginner,2020-04-30,Unknown,Unknown,Unknown,Unknown
"Seibold, Heidi",CC-BY-4.0,https://doi.org/10.5281/zenodo.12744715,6 Steps Towards Reproducible Research,,A short book with 6 steps that get you closer to making your work reproducible.,Unknown,.epub * .jpg * .pdf * .png,Reproducibility * Research Data Management * include in DALIA,,Book,text,novice,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://f1000research.com/slides/10-519,Sharing and licensing material,,Introduction to sharing resources online and licensing,Unknown,Unknown,Sharing * Research Data Management * include in DALIA,,Presentation,presentation,,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://focalplane.biologists.com/2023/05/06/if-you-license-it-itll-be-harder-to-steal-it-why-we-should-license-our-work/,"If you license it, it’ll be harder to steal it. Why we should license our work",,Blog post about why we should license our work and what is important when choosing a license.,Unknown,Unknown,Licensing * Research Data Management * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://focalplane.biologists.com/2023/02/15/sharing-research-data-with-zenodo/,Sharing research data with Zenodo,,Blog post about how to share data using zenodo.org,Unknown,Unknown,Sharing * Research Data Management * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://focalplane.biologists.com/2021/09/04/collaborative-bio-image-analysis-script-editing-with-git/,Collaborative bio-image analysis script editing with git,,"Introduction to version control using git for collaborative, reproducible script editing.",Unknown,Unknown,Sharing * Research Data Management * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Kunis, Susanne",CC-BY-4.0,https://doi.org/10.5281/zenodo.7018929,Structuring of Data and Metadata in Bioimaging: Concepts and technical Solutions in the Context of Linked Data,,"guided walkthrough of poster at https://doi.org/10.5281/zenodo.6821815

which provides an overview of contexts, frameworks, and models from the world of bioimage data as well as metadata and the techniques for structuring this data as Linked Data.

You can also watch the video in the browser on the I3D:bio website.",Unknown,.mp4,Nfdi4Bioimage * Research Data Management * include in DALIA,en,,video,advanced beginner,2022-08-24,Unknown,Unknown,Unknown,Unknown
Robert Haase * Elnaz Fazeli * David Legland * Michael Doube * Siân Culley * Ilya Belevich * Eija Jokitalo * Martin Schorb * Anna Klemm * Christian Tischer,CC-BY-4.0,https://febs.onlinelibrary.wiley.com/doi/full/10.1002/1873-3468.14451,A Hitchhiker's guide through the bio-image analysis software universe,,This article gives an overview about commonly used bioimage analysis software and which aspects to consider when choosing a software for a specific project.,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Article,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Johannes Richard Soltwedel * Robert Haase,CC-BY-4.0,https://onlinelibrary.wiley.com/doi/full/10.1111/jmi.13192,Challenges and opportunities for bioimage analysis core-facilities,,"This article outlines common reasons for founding bioimage analysis core-facilities, services they can provide to fulfill certain need and conflicts of interest that arise from these services.",Unknown,Unknown,Bioimage Analysis * Research Data Management * include in DALIA,,Article,text,competent,,Unknown,Unknown,Unknown,Unknown
Florian Levet * Anne E. Carpenter * Kevin W. Eliceiri * Anna Kreshuk * Peter Bankhead * Robert Haase,CC-BY-4.0,https://f1000research.com/articles/10-302,Developing open-source software for bioimage analysis: opportunities and challenges,,This article outlines common challenges and practices when developing open-source software for bio-image analysis.,Unknown,Unknown,Neubias * include in DALIA,,Article,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Anjalie Schlaeppi * Wilson Adams * Robert Haase * Jan Huisken * Ryan B. MacDonald * Kevin W. Eliceiri * Elisabeth C. Kugler,CC-BY-4.0,https://www.frontiersin.org/articles/10.3389/fbinf.2022.889755/full,Meeting in the Middle: Towards Successful Multidisciplinary Bioimage Analysis Collaboration,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Article,text,,,Unknown,Unknown,Unknown,Unknown
Gabriel G. Martins * Fabrice P. Cordelières * Julien Colombelli * Rocco D’Antuono * Ofra Golani * Romain Guiet * Robert Haase * Anna H. Klemm * Marion Louveaux * Perrine Paul-Gilloteaux * Jean-Yves Tinevez * Kota Miura,CC-BY-4.0,https://f1000research.com/articles/10-334/v1,Highlights from the 2016-2020 NEUBIAS training schools for Bioimage Analysts: a success story and key asset for analysts and life scientists,,,Unknown,Unknown,Bioimage Analysis * Neubias * include in DALIA,,Article,text,,2021,Unknown,Unknown,Unknown,Unknown
Glyn Nelson * Ulrike Boehme * et al.,CC-BY-4.0,https://onlinelibrary.wiley.com/doi/10.1111/jmi.13041,QUAREP-LiMi: A community-driven initiative to establish guidelines for quality assessment and reproducibility for instruments and images in light microscopy,,,Unknown,Unknown,Quareo-Limi * include in DALIA,,Article,text,,,Unknown,Unknown,Unknown,Unknown
Christopher Schmied * Michael S Nelson * Sergiy Avilov * Gert-Jan Bakker * Cristina Bertocchi * Johanna Bischof * Ulrike Boehm * Jan Brocher * Mariana T Carvalho * Catalin Chiritescu * Jana Christopher * Beth A Cimini * Eduardo Conde-Sousa * Michael Ebner * Rupert Ecker * Kevin Eliceiri * Julia Fernandez-Rodriguez * Nathalie Gaudreault * Laurent Gelman * David Grunwald * Tingting Gu * Nadia Halidi * Mathias Hammer * Matthew Hartley * Marie Held * Florian Jug * Varun Kapoor * Ayse Aslihan Koksoy * Judith Lacoste * Sylvia Le Dévédec * Sylvie Le Guyader * Penghuan Liu * Gabriel G Martins * Aastha Mathur * Kota Miura * Paula Montero Llopis * Roland Nitschke * Alison North * Adam C Parslow * Alex Payne-Dwyer * Laure Plantard * Rizwan Ali * Britta Schroth-Diez * Lucas Schütz * Ryan T Scott * Arne Seitz * Olaf Selchow * Ved P Sharma * Martin Spitaler * Sathya Srinivasan * Caterina Strambio-De-Castillia * Douglas Taatjes * Christian Tischer * Helena Klara Jambor,ALL RIGHTS RESERVED,https://www.nature.com/articles/s41592-023-01987-9,Community-developed checklists for publishing images and image analyses,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Article,text,,,Unknown,Unknown,Unknown,Unknown
Matúš Kalaš * Laure Plantard * Joakim Lindblad * Martin Jones * Nataša Sladoje * Moritz A Kirschmann * Anatole Chessel * Leandro Scholz * Fabianne Rössler * Laura Nicolás Sáenz * Estibaliz Gómez de Mariscal * John Bogovic * Alexandre Dufour * Xavier Heiligenstein * Dominic Waithe * Marie-Charlotte Domart * Matthia Karreman * Raf Van de Plas * Robert Haase * David Hörl * Lassi Paavolainen * Ivana Vrhovac Madunić * Dean Karaica * Arrate Muñoz-Barrutia * Paula Sampaio * Daniel Sage * Sebastian Munck * Ofra Golani * Josh Moore * Florian Levet * Jon Ison * Alban Gaignard * Hervé Ménager * Chong Zhang * Kota Miura * Julien Colombelli * Perrine Paul-Gilloteaux,CC-BY-4.0,https://f1000research.com/posters/9-162,"EDAM-bioimaging: The ontology of bioimage informatics operations, topics, data, and formats (update 2020)",,,Unknown,Unknown,Metadata * include in DALIA,,Article * Poster,text,,,Unknown,Unknown,Unknown,Unknown
"Kunis, Susanne",CC-BY-4.0,https://doi.org/10.5281/zenodo.8329306,Thinking data management on different scales,,Presentation given at PoL BioImage Analysis Symposium Dresden 2023,Unknown,.pdf * .pptx,Research Data Management * Nfdi4Bioimage * include in DALIA,,Presentation,presentation,,2023-08-31,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://f1000research.com/slides/12-1054,Challenges and opportunities for bio-image analysis core-facilities,,,Unknown,Unknown,Research Data Management * Bioimage Analysis * Nfdi4Bioimage * include in DALIA,,Presentation,presentation,,,Unknown,Unknown,Unknown,Unknown
"Weidtkamp-Peters, Stefanie",CC-BY-4.0,https://doi.org/10.5281/zenodo.8070038,NFDI4BIOIMAGE - National Research Data Infrastructure for Microscopy and BioImage Analysis - Online Kick-Off 2023,,"NFDI4BIOIMAGE core mission, bioimage data challenge, task areas, FAIR bioimage workflows.",Unknown,.pdf * .pptx,Research Data Management * FAIR-Principles * Bioimage Analysis * Nfdi4Bioimage * include in DALIA,,Presentation,presentation,,,Unknown,Unknown,Unknown,Unknown
Josh Moore * Susanne Kunis,CC-BY-4.0,https://zenodo.org/doi/10.5281/zenodo.11235512,"[ELMI 2024] AI's Dirty Little Secret: Without FAIR Data, It's Just Fancy Math",,Poster presented at the European Light Microscopy Initiative meeting in Liverpool (https://www.elmi2024.org/),Unknown,.pdf,Research Data Management * FAIR-Principles * Bioimage Analysis * Nfdi4Bioimage * include in DALIA,,Poster,,,,Unknown,Unknown,Unknown,Unknown
"Kunis, Susanne",CC-BY-4.0,https://zenodo.org/doi/10.5281/zenodo.8329305,Thinking data management on different scales,,Presentation given at PoL BioImage Analysis Symposium Dresden 2023,Unknown,.pdf * .pptx,Research Data Management * Nfdi4Bioimage * include in DALIA,,Presentation,presentation,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Josh Moore * Susanne Kunis,CC-BY-4.0,https://zenodo.org/doi/10.5281/zenodo.7928332,[SWAT4HCLS 2023] NFDI4BIOIMAGE: Perspective for a national bioimage standard,,"Poster presented at Semantic Web Applications and Tools for Health Care and Life Sciences (SWAT4HCLS 2023), Feb 13--16, 2023, Basel, Switzerland. NFDI4BIOIMAGE is a newly established German consortium dedicated to the FAIR representation of biological imaging data. A key deliverable is the definition of a semantically-compatible FAIR image object integrating RDF metadata with web-compatible storage of large n-dimensional binary data in OME-Zarr. We invite feedback from and collaboration with other endeavors during the soon-to-begin 5 year funding period.",Unknown,.pdf,Research Data Management * FAIR-Principles * Nfdi4Bioimage * include in DALIA,en,Poster,,,,Unknown,Unknown,Unknown,Unknown
Vanessa Aphaia Fiona Fuchs * Jens Wendt * Maximilian Müller * Mohsen Ahmadi * Riccardo Massei * Cornelia Wetzker,CC-BY-4.0,https://zenodo.org/doi/10.5281/zenodo.10730423,Who you gonna call? - Data Stewards to the rescue,,The Data Steward Team of the NFDI4BIOIMAGE consortium presents themselves and the services (including the Helpdesk) that we offer.,Unknown,.pdf,Research Data Management * Bioimage Analysis * Data Stewardship * Nfdi4Bioimage * include in DALIA,,Poster,,,,Unknown,Unknown,Unknown,Unknown
"Schmidt, Christian",CC-BY-4.0,https://zenodo.org/doi/10.5281/zenodo.10939519,[Short Talk] NFDI4BIOIMAGE - A consortium in the National Research Data Infrastructure,,"Short Talk about the NFDI4BIOIMAGE consortium presented at the RDM in (Bio-)Medicine Information Event on April 10th, 2024, organized C³RDM & ZB MED.",Unknown,.pdf,Research Data Management * Bioimage Analysis * Nfdi4Bioimage * include in DALIA,,Presentation,presentation,,,Unknown,Unknown,Unknown,Unknown
"Fortmann-Grote, Carsten",CC-BY-4.0,https://zenodo.org/doi/10.5281/zenodo.11031746,NFDI4BIOIMAGE,,"Presentation was given at the 2nd MPG-NFDI Workshop on April 18th about e NFDI4BIOIMAGE Consortium, FAIRification of Image (meta)data, Zarr, RFC, Training (TA5), contributing.",Unknown,.pdf,Research Data Management * Bioimage Analysis * FAIR-Principles * Zarr * Nfdi4Bioimage * include in DALIA,,Presentation,presentation,,,Unknown,Unknown,Unknown,Unknown
"Consortium, NFDI4BIOIMAGE",CC-BY-4.0,https://doi.org/10.5281/zenodo.13168693,NFDI4BIOIMAGE - National Research Data Infrastructure for Microscopy and Bioimage Analysis,,"Bioimaging refers to a collection of methods to visualize the internal structures and mechanisms of living organisms. The fundamental tool, the microscope, has enabled seminal discoveries like that of the cell as the smallest unit of life, and continues to expand our understanding of biological processes. Today, we can follow the interaction of single molecules within nanoseconds in a living cell, and the development of complete small organisms like fish and flies over several days starting from the fertilized egg. Each image pixel encodes multiple spatiotemporal and spectral dimensions, compounding the massive volume and complexity of bioimage data. Proper handling of this data is indispensable for analysis and its lack has become a growing hindrance for the many disciplines of the life and biomedical sciences relying on bioimaging. No single domain has the expertise to tackle this bottleneck alone.
As a method-specific consortium, NFDI4BIOMAGE seeks to address these issues, enabling bioimaging data to be shared and re-used like they are acquired, i.e., independently of disciplinary boundaries. We will provide solutions for exploiting the full information content of bioimage data and enable new discoveries through sharing and re-analysis. Our RDM strategy is based on a robust needs analysis that derives not only from a community survey but also from over a decade of experience in German BioImaging, the German Society for Microscopy and Image Analysis. It considers the entire lifecycle of bioimaging data, from acquisition to archiving, including analysis and enabling re-use. A foundational element of this strategy is the definition of a common, cloud-compatible, and interoperable digital object that bundles binary images with their descriptive and provenance metadata. With members from plant biology to neuroscience, NFDI4BIOIMAGE will champion the standardization of bioimage data to create a framework that answers discipline-specific needs while ensuring communication and interoperability with data types and RDM systems across domains. Integration of bioimage data with, e.g., omics data as the basis for spatial omics, holds great promise for fields such as cancer medicine. Unlocking the full potential of bioimage data will rely on the development and broad availability of exceptional analysis tools and training sets. NFDI4BIOIMAGE will make these accessible and usable including cutting-edge AI-based methods in scalable cloud environments. NFDI4BIOIMAGE intersects with multiple NFDI consortia, most prominently with GHGA for linking image and genomics data and with DataPLANT on the definition of FAIR data objects. Last but not least, NFDI4BIOIMAGE is internationally well connected and represents the opportunity for German scientists to keep path with and have a voice in several international initiatives focusing on the FAIRification of bioimage data as one of the main challenges for the advancement of knowledge in the life and biomedical sciences.",Unknown,.pdf,include in DALIA,en,,,,2024-08-07,Unknown,Unknown,Unknown,Unknown
"Moore, Josh",CC-BY-4.0,https://doi.org/10.5281/zenodo.11318151,[GBI EOE VII] Five (or ten) must-have items for making IT infrastructure for managing bioimage data,,Presentation made to the GBI Image Data Management Working Group during the 7th Exchange of Experience in Uruguay.,Unknown,.pdf,include in DALIA,,,,,2024-05-26,Unknown,Unknown,Unknown,Unknown
Jonathan Geiger * Petra Steiner * Abdelmoneim Amer Desouki * Frank Lange,CC-BY-SA-4.0,https://doi.org/10.5281/zenodo.11521029,DALIA Interchange Format,,"The DALIA (Data Literacy Alliance) project aims to develop a knowledge graph for FAIR teaching and learning materials on data literacy, data competencies and research data management (RDM) skills within the National Research Data Infrastructure (NFDI) and the RDM landscape. Such a platform thrives on the participation of users who want to search, create, manage or use teaching and learning materials.
A schematization of the metadata is necessary for the interoperability of teaching and learning materials. This is done by the DALIA Interchange Format (DIF), which provides a framework for making the metadata of teaching and learning materials transparent, comparable and smooth to integrate into the DALIA platform. It includes the description and explanation of the data fields for the online publication of educational resources.
The DIF was developed in close consultation with the scientific community. This development process included several feedback rounds in which valuable feedback was provided and subsequently incorporated into the DIF. This not only contributed to the clear, transparent and user-oriented definitions of the data fields, and to a clear structure, but also to the integration of many existing data standards and to the (special) requirements of the scientific community. The selection of elements is based on the&nbsp;Dublin Core Application Profile.
The DIF is provided as a PDF document and in table form (ODS) to convey the attributes of the teaching and learning materials and their definitions in an easily understandable form and to facilitate communication. It also includes a legend and an example in tabular form. In addition, a template (CSV) with the attributes as column headers is provided, which can be used for recording the metadata of the teaching and learning materials. The tables can also be transferred to technical application profiles.
We would like to thank all the commentators of the previous versions, especially Susanne Arndt, Sophie Bo&szlig;e, Sonja Felder, Marc Fuhrmans, Jan-Michael Haugwitz, Marina Lemaire, Karoline Lemke, Birte Lindst&auml;dt, Juliane R&ouml;der, and Jakob Vo&szlig;. Without their feedback and advice, the DIF would be less transparent.",Unknown,.csv * .ods * .pdf,include in DALIA,en,,,,2024-06-07,Unknown,Unknown,Unknown,Unknown
Melissa Linkert * et al.,,https://rupress.org/jcb/article/189/5/777/35828/Metadata-matters-access-to-image-data-in-the-real,Metadata matters: access to image data in the real world,,,Unknown,Unknown,Metadata * include in DALIA,,Article,text,,2010,Unknown,Unknown,Unknown,Unknown
Dan Chitwood * Sourabh Palande,,https://academic.oup.com/plcell/article/34/7/e1/6628764,"Plants & Python - A series of lessons in coding, plant biology, computation, and bioinformatics",,,Unknown,Unknown,Notebook * include in DALIA,,Article,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Christian Schmidt * Tom Boissonnet * Julia Dohle * Karen Bernhardt * Elisa Ferrando-May * Tobias Wernet * Roland Nitschke * Susanne Kunis * Stefanie Weidtkamp-Peters,,https://onlinelibrary.wiley.com/doi/10.1111/jmi.13317,A practical guide to bioimaging research data management in core facilities,,,Unknown,Unknown,Research Data Management * include in DALIA,,Article,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Oleg Ryabchykov * Shuxia Guo * Thomas Bocklitz,CC-BY-4.0,https://doi.org/10.1016/j.vibspec.2024.103685,Photonic data analysis in 2050,,"Photonic data analysis, combining imaging, spectroscopy, machine learning, and computer science, requires flexible methods and interdisciplinary collaborations to advance. Essential developments include standardizing data infrastructure for comparability, optimizing data-driven models for complex investigations, and creating techniques to handle limited or unbalanced data and device variations.",Unknown,Unknown,FAIR-Principles * Machine Learning * Research Data Management * include in DALIA,en,Article,text,,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://doi.org/10.5281/zenodo.13379394,Large Language Models: An Introduction for Life Scientists,,"Large Language Models (LLMs) are changing the way how humans interact with computers. This has impact on all scientific fields by enabling new ways to achieve for example data analysis goals. In this talk we will go through an introduction to LLMs with respect to applications in the life sciences, focusing on bio-image analysis. We will see how to generate text and images using LLMs and how LLMs can extract information from reproducibly images through code-generation. We will go through selected prompt engineering techniques enabling scientists to tune the output of LLMs towards their scientific goal and how to do quality assurance in this context.",Unknown,.pdf * .pptx,Artificial Intelligence * include in DALIA,en,,,advanced beginner,2024-08-27,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://doi.org/10.5281/zenodo.13371196,ChatGPT for Image Analysis,,"Large Language Models (LLMs) such as ChatGPT are changing the way we interact with computers, including how we analye microscopy imaging data. In this talk I introduce basic concepts of asking LLMs to write code and how to modify the questions to get the best out of it. For trying out these prompt engineering basics there are additional online resources available: https://scads.github.io/prompt-engineering-basics-2024/intro.html",Unknown,.pdf * .pptx * .zip,include in DALIA,en,,,advanced beginner,2024-08-25,Unknown,Unknown,Unknown,Unknown
Pauli Virtanen et al.,BSD-3-Clause,https://github.com/scipy/scipy-cookbook,Scipy Cookbook,,This is a conversion and second life of SciPy Cookbook as a bunch of Ipython notebooks.,Unknown,Unknown,Bioimage Analysis * include in DALIA,,,,,,Unknown,Unknown,Unknown,Unknown
Ziv Yaniv et al.,Apache-2.0,https://github.com/InsightSoftwareConsortium/SimpleITK-Notebooks,SimpleITK-Notebooks,,Jupyter notebooks for learning how to use SimpleITK,Unknown,Unknown,Bioimage Analysis * Simpleitk * include in DALIA,,,,competent,,Unknown,Unknown,Unknown,Unknown
Juan Nunez-Iglesias et al.,CC0-1.0,https://github.com/scikit-image/skimage-tutorials,skimage-tutorials,,skimage-tutorials - a collection of tutorials for the scikit-image package.,Unknown,Unknown,Bioimage Analysis * Scikit-Image * include in DALIA,,,,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Loïc Estève et al.,CC-BY-4.0,https://github.com/INRIA/scikit-learn-mooc,scikit-learn MOOC,,Machine learning in Python with scikit-learn MOOC,Unknown,Unknown,Bioimage Analysis * Machine Learning * include in DALIA,,,,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Yandex School of Data Analysis,MIT,https://github.com/yandexdataschool/nlp_course,NLP Course,,YSDA course in Natural Language Processing,Unknown,Unknown,Natural Language Processing * include in DALIA,,,,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Beth Cimini et al.,BSD-3-Clause,https://quarep-limi.github.io/WG12_checklists_for_image_publishing/intro.html,Community-developed checklists for publishing images and image analyses,,"This book is a companion to the Nature Methods publication Community-developed checklists for publishing images and image analyses. In this paper, members of QUAREP-LiMi have proposed 3 sets of standards for publishing image figures and image analysis - minimal requirements, recommended additions, and ideal comprehensive goals. By following this guidance, we hope to remove some of the stress non-experts may face in determining what they need to do, and we also believe that researchers will find their science more interpretable and more reproducible.",Unknown,Unknown,Bioimage Analysis * Research Data Management * include in DALIA,en,Other * Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Vanessa Fiona Aphaia Fuchs * Christian Schmidt * Tom Boissonnet,CC-BY-4.0,https://doi.org/10.5281/zenodo.11109616,[Workshop] FAIR data handling for microscopy: Structured metadata annotation in OMERO,,"Description
Microscopy experiments generate information-rich, multi-dimensional data, allowing us to investigate biological processes at high spatial and temporal resolution. Image processing and analysis is a standard procedure to retrieve quantitative information from biological imaging. Due to the complex nature of bioimaging files that often come in proprietary formats, it can be challenging to organize, structure, and annotate bioimaging data throughout a project. Data often needs to be moved between collaboration partners, transformed into open formats, processed with a variety of software tools, and exported to smaller-sized images for presentation. The path from image acquisition to final publication figures with quantitative results must be documented and reproducible.
In this workshop, participants learn how to use structured metadata annotations in the image data management platform OMERO (OME Remote Objects) to optimize their data handling. This strategy helps both with organizing data for easier processing and analysis and for the preparation of data publication in journal manuscripts and in public repositories such as the BioImage Archive. Participants learn the principles of leveraging object-oriented data organization in OMERO to enhance findability and usability of their data, also in collaborative settings. The integration of OMERO with image analysis tools, in particular ImageJ/Fiji, will be trained. Moreover, users learn about community-accepted metadata checklists (REMBI) to enrich the value of their data toward reproducibility and reusability. In this workshop, we will provide hands-on training and recommendations on:

Structured metadata annotation features in OMERO and how to use them
Types of metadata in bioimaging: Technical metadata, sample metadata, analysis metadata
The use of ontologies and terminologies for metadata annotation
REMBI, the recommended metadata for biological images
Metadata-assisted image analysis streamlining
Tools for metadata annotation in OMERO

The target group for this workshop
This workshop is directed at researchers at all career levels who have started using OMERO for their microscopy research data management. We encourage the workshop participants to bring example data from their research to discuss suitable metadata annotation for their everyday practice.
Who are the trainers (see trainer description below for more details)

Dr. Vanessa Fuchs (NFDI4BIOIMAGE Data Steward, Center for Advanced Imaging, Heinrich-Heine University of D&uuml;sseldorf)
Dr. Tom Boissonnet (OMERO admin and image metadata specialist, Center for Advanced Imaging, Heinrich-Heine University of D&uuml;sseldorf)
Dr. Christian Schmidt (Science Manager for Research Data Management in Bioimaging, German Cancer Research Center, Heidelberg)

Material Description
Published here are the presentation slides that were used for input from the trainers during the different sessions of the programme. Additionally, a Fiji Macro is published that depends on the OMERO Extensions Plugin by Pouchin et al, 2022, F100Research, https://doi.org/10.12688/f1000research.110385.2&nbsp;
Programme Overview
Day 1 - April 29th, 2024&nbsp;09.00 a.m. to 10.00 a.m.: Session 1 - Welcome and Introduction
10.00 a.m. to 10.30 a.m.:&nbsp; Session 2 - Introduction to the FAIR principles &amp; data annotation
10:30 a.m. to 10:45 a.m.: Coffee break
10.45 a.m. to 12.00 a.m.: Session 3 - Data structure (datasets in OMERO) and organization with Tags&nbsp;
12.00 a.m. to 1.00 p.m.:&nbsp; Lunch Break
1.00 p.m. to 2.00 p.m.:&nbsp; Session 4 - REMBI, Key-Value pair annotations in bioimaging
2:00 p.m. to 2.30 p.m.:&nbsp; Session 5 - Ontologies for Key-Value Pairs in OMERO
2:30 p.m. to 2:45 p.m. Coffee break
2.45 p.m. to 3.45 p.m.:&nbsp; Wrap-up, discussion, outlook on day 2
Day 2 - April 30th, 2024
09.00 a.m. to 09.30 a.m.:&nbsp; Arrival and Start into day 2
09.30 a.m. to 11.30 a.m.:&nbsp; Session 6 - Hands-on : REMBI-based Key-Value Pair annotation in OMERO
11.30 a.m. to 12.30 a.m.:&nbsp; Lunch Break
12.30 a.m. to 1.15 p.m.: Session 7 - OMERO and OMERO.plugins
1.15 p.m. to 2.00 p.m.: Session 8 - Loading OMERO-hosted data into Fiji
2.00 p.m. to 2.15 p.m.:&nbsp;Coffee break&nbsp;
2.15 p.m. to 3.00 p.m.: Discussion, Outlook",Unknown,.ijm * .pdf * .pptx,include in DALIA,en,,,advanced beginner,2024-05-06,Unknown,Unknown,Unknown,Unknown
"Massei, Riccardo",CC-BY-4.0,https://doi.org/10.5281/zenodo.13908480,Getting started with Python: intro and set-up a conda environment,,"YMIA python event 2024
Presentation :&nbsp; ""Getting started with Python: intro and set-up a conda environment with Dr. Riccardo Massei""",Unknown,.odp,include in DALIA,,,,novice,2024-10-09,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://doi.org/10.5281/zenodo.13908108,Bio-image Analysis Code Generation using bia-bob,,"In this presentation I introduce bia-bob, an AI-based code generator that integrates into Jupyter Lab and allows for easy generation of Bio-Image Analysis Python code. It highlights how to get started with using large language models and prompt engineering to get high-quality bio-image analysis code.",Unknown,.pdf * .pptx,artificial intelligence * bioimage analysis * include in DALIA,en,,,advanced beginner,2024-10-09,Unknown,Unknown,Unknown,Unknown
"FAIR, GO",CC-BY-4.0,https://www.go-fair.org/resources/rdm-starter-kit/,RDM Starter Kit,,This page is supposed to serve as a Starter Kit for research data management (RDM). It lists resources designed to help researchers get started to organize their data.,Unknown,Unknown,Research Data Management * include in DALIA,,Web Page,,,,Unknown,Unknown,Unknown,Unknown
Uli Hahn * Kerstin Helbig * Gerald Jagusch * Jessica Rex,CC-BY-4.0,https://doi.org/10.17192/bfdm.2018.1.7945,Erstellung und Realisierung einer institutionellen Forschungsdaten-Policy,,Die vorliegende Empfehlung sowie die zugehörigen Erfahrungsberichte geben einen Überblick über die verschiedenen Möglichkeiten der Gestaltung einer Forschungsdatenmanagement Policy sowie Wege zu deren Erstellung.,Unknown,Unknown,Research Data Management * include in DALIA,de,Article,text,, 2018-10-22,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://focalplane.biologists.com/2023/11/06/creating-a-research-data-management-plan-using-chatgpt/,Creating a Research Data Management Plan using chatGPT,,In this blog post the author demonstrates how chatGPT can be used to combine a fictive project description with a DMP specification to produce a project-specific DMP.,Unknown,Unknown,Research Data Management * Artificial Intelligence * include in DALIA,,Text,text,advanced beginner,2023-11-06,Unknown,Unknown,Unknown,Unknown
Till Kreutzer * Henning Lahmann,CC-BY-4.0,https://hup.sub.uni-hamburg.de/oa-pub/catalog/book/205,Rechtsfragen bei Open Science - Ein Leitfaden,,"Die Digitalisierung ermöglicht eine offene Wissenschaft (Open Science). Diese hat viele Aspekte, insbesondere den freien Zugang zu wissenschaftlichen Veröffentlichungen und Materialien (Open Access), transparente Begutachtungsverfahren (Open Peer Review) oder quelloffene Technologien (Open Source). Das Programm Hamburg Open Science (Laufzeit 2018–2020) unterstützt unter anderem den Kulturwandel in der Wissenschaft. In diesem Kontext entstand der nun vorliegende Leitfaden, der das rechtliche Umfeld greifbar machen soll. Der Leitfaden erarbeitet die betroffenen Rechtsgebiete zunächst systematisch. Im zweiten Teil werden rechtliche Fragen zu Open Science beantwortet, die direkt aus den Universitäten und Bibliotheken kommen.",Unknown,Unknown,Open Science * Open Access * Copyright * include in DALIA,de,Book,text,advanced beginner,2021-05-25,Unknown,Unknown,Unknown,Unknown
